"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"12.03.2025","47,68","48,12","48,19","47,22","60,70M","0,15%"
"11.03.2025","47,61","47,95","48,08","47,28","72,97M","-0,85%"
"10.03.2025","48,02","48,29","48,60","47,46","78,22M","-2,24%"
"07.03.2025","49,12","49,20","49,33","48,25","87,35M","-0,53%"
"06.03.2025","49,38","49,62","49,96","49,06","55,48M","-1,65%"
"05.03.2025","50,21","49,94","50,45","49,56","75,56M","0,58%"
"04.03.2025","49,92","51,22","51,28","49,64","99,34M","-3,52%"
"03.03.2025","51,74","52,32","52,63","51,37","76,10M","-0,84%"
"28.02.2025","52,18","51,39","52,26","51,17","63,54M","2,05%"
"27.02.2025","51,13","51,03","51,80","50,99","44,38M","0,55%"
"26.02.2025","50,85","50,97","51,32","50,75","31,25M","-0,22%"
"25.02.2025","50,96","51,27","51,40","50,31","50,13M","-0,02%"
"24.02.2025","50,97","50,99","51,40","50,68","56,67M","0,43%"
"21.02.2025","50,75","51,41","51,50","50,65","51,79M","-1,25%"
"20.02.2025","51,39","52,11","52,15","51,03","47,08M","-1,53%"
"19.02.2025","52,19","52,04","52,25","51,90","31,75M","0,04%"
"18.02.2025","52,17","51,88","52,20","51,74","33,50M","0,71%"
"14.02.2025","51,80","51,77","52,02","51,75","29,57M","0,19%"
"13.02.2025","51,70","51,50","51,77","51,28","36,37M","0,66%"
"12.02.2025","51,36","51,28","51,38","50,92","45,47M","-0,35%"
"11.02.2025","51,54","51,33","51,64","51,02","45,16M","0,25%"
"10.02.2025","51,41","51,91","51,97","51,19","37,92M","-0,79%"
"07.02.2025","51,82","52,17","52,26","51,78","40,60M","-0,56%"
"06.02.2025","52,11","51,98","52,13","51,76","34,36M","0,83%"
"05.02.2025","51,68","51,36","51,69","51,13","34,76M","1,06%"
"04.02.2025","51,14","51,32","51,39","51,00","41,74M","-0,23%"
"03.02.2025","51,26","50,75","51,40","50,41","77,42M","-0,41%"
"31.01.2025","51,47","51,83","51,97","51,44","40,43M","-0,58%"
"30.01.2025","51,77","51,75","52,04","51,43","64,25M","0,96%"
"29.01.2025","51,28","51,18","51,74","51,17","43,61M","-0,08%"
"28.01.2025","51,32","51,35","51,55","51,11","39,89M","-0,18%"
"27.01.2025","51,41","50,76","51,44","50,62","61,71M","1,10%"
"24.01.2025","50,85","50,53","50,90","50,48","39,09M","0,30%"
"23.01.2025","50,70","50,49","50,79","50,48","32,05M","0,58%"
"22.01.2025","50,41","50,65","50,66","50,21","37,23M","-0,47%"
"21.01.2025","50,65","50,40","50,71","50,38","33,27M","0,84%"
"17.01.2025","50,23","49,91","50,32","49,73","43,69M","0,84%"
"16.01.2025","49,81","49,46","49,85","49,46","33,83M","0,67%"
"15.01.2025","49,48","49,28","49,61","49,01","61,18M","2,55%"
"14.01.2025","48,25","47,85","48,29","47,74","39,35M","1,24%"
"13.01.2025","47,66","47,08","47,68","47,03","36,00M","0,72%"
"10.01.2025","47,32","48,10","48,14","47,15","53,13M","-2,41%"
"08.01.2025","48,49","48,34","48,50","48,02","36,42M","0,33%"
"07.01.2025","48,33","48,65","48,76","48,12","57,68M","-0,23%"
"06.01.2025","48,44","48,80","49,02","48,35","54,29M","-0,31%"
"03.01.2025","48,59","48,49","48,62","48,08","25,20M","0,79%"
"02.01.2025","48,21","48,58","48,76","47,94","35,88M","-0,25%"
"31.12.2024","48,33","48,40","48,57","48,16","25,17M","0,10%"
"30.12.2024","48,28","48,25","48,50","47,86","34,82M","-0,96%"
"27.12.2024","48,75","48,85","49,17","48,49","33,85M","-0,73%"
"26.12.2024","49,11","48,77","49,13","48,74","20,81M","0,24%"
"24.12.2024","48,99","48,52","49,01","48,42","18,35M","1,18%"
"23.12.2024","48,42","48,06","48,46","47,87","43,03M","-0,19%"
"20.12.2024","48,51","47,70","48,88","47,60","56,07M","1,49%"
"19.12.2024","47,80","48,17","48,53","47,79","63,64M","0,36%"
"18.12.2024","47,63","49,19","49,30","47,59","72,40M","-2,99%"
"17.12.2024","49,10","49,26","49,27","48,93","46,10M","-0,71%"
"16.12.2024","49,45","49,57","49,63","49,35","35,24M","-0,18%"
"13.12.2024","49,54","49,78","49,79","49,43","39,16M","-0,08%"
"12.12.2024","49,58","49,93","49,97","49,58","23,11M","-0,44%"
"11.12.2024","49,80","49,90","49,92","49,58","35,04M","0,20%"
"10.12.2024","49,70","49,75","49,98","49,38","38,86M","-0,02%"
"09.12.2024","49,71","50,44","50,49","49,69","42,00M","-1,37%"
"06.12.2024","50,40","50,40","50,57","50,26","23,44M","-0,02%"
"05.12.2024","50,41","50,34","50,67","50,30","33,60M","0,30%"
"04.12.2024","50,26","50,40","50,44","50,08","41,02M","-0,38%"
"03.12.2024","50,45","51,13","51,13","50,45","46,92M","-0,75%"
"02.12.2024","50,83","51,42","51,49","50,70","55,48M","-0,99%"
"29.11.2024","51,34","51,44","51,57","51,25","15,18M","0,16%"
"27.11.2024","51,26","51,23","51,62","51,21","31,80M","0,20%"
"26.11.2024","51,16","51,08","51,26","50,76","28,42M","0,20%"
"25.11.2024","51,06","51,01","51,24","50,86","47,49M","0,65%"
"22.11.2024","50,73","50,14","50,78","50,13","42,05M","1,12%"
"21.11.2024","50,17","49,79","50,40","49,66","50,88M","1,27%"
"20.11.2024","49,54","49,89","49,92","49,29","33,93M","-0,30%"
"19.11.2024","49,69","49,62","49,88","49,42","27,01M","-0,66%"
"18.11.2024","50,02","49,91","50,11","49,70","27,15M","0,30%"
"15.11.2024","49,87","49,64","50,01","49,61","40,74M","0,46%"
"14.11.2024","49,64","49,88","49,99","49,54","38,25M","-0,26%"
"13.11.2024","49,77","49,84","50,13","49,69","31,88M","0,06%"
"12.11.2024","49,74","49,87","49,94","49,59","58,51M","-0,30%"
"11.11.2024","49,89","49,68","50,13","49,67","63,65M","1,42%"
"08.11.2024","49,19","49,10","49,47","48,85","60,38M","0,90%"
"07.11.2024","48,75","49,44","49,44","48,66","70,61M","-1,61%"
"06.11.2024","49,55","49,04","49,68","48,70","153,47M","6,08%"
"05.11.2024","46,71","46,32","46,73","46,23","35,22M","0,93%"
"04.11.2024","46,28","46,61","46,65","46,03","41,71M","-0,77%"
"01.11.2024","46,64","46,63","47,00","46,52","40,14M","0,34%"
"31.10.2024","46,48","47,07","47,21","46,48","53,42M","-1,38%"
"30.10.2024","47,13","46,98","47,43","46,94","28,70M","0,45%"
"29.10.2024","46,92","47,09","47,22","46,88","27,93M","-0,61%"
"28.10.2024","47,21","46,87","47,25","46,85","31,42M","1,24%"
"25.10.2024","46,63","47,34","47,42","46,52","25,53M","-1,10%"
"24.10.2024","47,15","47,12","47,21","46,86","19,62M","0,08%"
"23.10.2024","47,11","47,10","47,22","46,88","20,70M","-0,08%"
"22.10.2024","47,15","47,00","47,23","46,78","30,02M","-0,19%"
"21.10.2024","47,24","47,54","47,65","47,15","26,21M","-0,80%"
"18.10.2024","47,62","47,61","47,72","47,35","34,28M","0,02%"
"17.10.2024","47,61","47,68","47,81","47,58","45,82M","0,27%"
"16.10.2024","47,48","47,08","47,50","46,99","44,97M","1,24%"
"15.10.2024","46,90","47,12","47,39","46,84","42,36M","0,21%"
