"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"12.03.2025","24,48","24,38","24,56","24,27","19,65M","0,41%"
"11.03.2025","24,38","24,33","24,45","24,06","18,96M","0,33%"
"10.03.2025","24,30","24,57","24,67","24,10","23,10M","-2,10%"
"07.03.2025","24,82","24,61","24,91","24,53","23,05M","1,02%"
"06.03.2025","24,57","24,58","24,82","24,41","17,13M","-0,04%"
"05.03.2025","24,58","24,07","24,65","24,00","33,23M","2,80%"
"04.03.2025","23,91","24,03","24,19","23,51","26,31M","-0,95%"
"03.03.2025","24,14","24,42","24,70","24,00","27,58M","0,12%"
"28.02.2025","24,11","24,46","24,52","23,95","39,41M","-2,43%"
"27.02.2025","24,71","24,81","24,95","24,66","24,65M","-0,68%"
"26.02.2025","24,88","25,09","25,21","24,85","20,96M","-1,58%"
"25.02.2025","25,28","25,31","25,40","25,20","24,34M","0,88%"
"24.02.2025","25,06","25,58","25,67","25,05","23,37M","-1,61%"
"21.02.2025","25,47","25,84","25,86","25,39","37,68M","-2,79%"
"20.02.2025","26,20","26,13","26,33","26,10","18,07M","0,42%"
"19.02.2025","26,09","26,22","26,34","26,01","19,10M","-1,14%"
"18.02.2025","26,39","26,34","26,58","26,34","24,99M","0,08%"
"14.02.2025","26,37","25,96","26,45","25,92","34,75M","3,57%"
"13.02.2025","25,46","25,16","25,49","25,13","16,58M","0,47%"
"12.02.2025","25,34","25,50","25,51","25,27","30,67M","-1,74%"
"11.02.2025","25,79","25,84","25,87","25,67","12,68M","0,82%"
"10.02.2025","25,58","25,50","25,67","25,40","17,46M","1,43%"
"07.02.2025","25,22","25,75","25,75","25,18","29,03M","-2,13%"
"06.02.2025","25,77","25,57","25,77","25,49","18,22M","1,34%"
"05.02.2025","25,43","25,24","25,52","25,19","19,58M","-0,08%"
"04.02.2025","25,45","25,20","25,62","25,19","23,41M","0,28%"
"03.02.2025","25,38","25,01","25,48","24,93","31,45M","0,20%"
"31.01.2025","25,33","25,59","25,73","25,32","34,16M","-0,16%"
"30.01.2025","25,37","24,85","25,55","24,80","34,80M","2,84%"
"29.01.2025","24,67","24,75","24,88","24,59","15,95M","-0,44%"
"28.01.2025","24,78","24,66","24,81","24,62","17,17M","0,57%"
"27.01.2025","24,64","24,38","24,69","24,32","20,60M","1,23%"
"24.01.2025","24,34","24,35","24,51","24,26","22,29M","0,54%"
"23.01.2025","24,21","24,32","24,45","24,10","26,97M","0,12%"
"22.01.2025","24,18","24,04","24,36","24,04","24,73M","1,43%"
"21.01.2025","23,84","23,70","23,91","23,62","18,35M","1,23%"
"17.01.2025","23,55","23,47","23,79","23,42","22,21M","0,77%"
"16.01.2025","23,37","23,58","23,61","23,21","24,92M","-1,72%"
"15.01.2025","23,78","23,42","23,81","23,22","22,44M","3,53%"
"14.01.2025","22,97","22,86","23,06","22,79","13,17M","0,70%"
"13.01.2025","22,81","22,70","22,90","22,63","13,66M","0,53%"
"10.01.2025","22,69","22,80","22,88","22,61","14,74M","-0,79%"
"08.01.2025","22,87","22,92","22,92","22,76","16,80M","-1,34%"
"07.01.2025","23,18","23,23","23,41","23,08","28,76M","1,49%"
"06.01.2025","22,84","22,87","23,08","22,76","22,13M","1,74%"
"03.01.2025","22,45","22,68","22,72","22,41","15,00M","-1,14%"
"02.01.2025","22,71","22,30","22,84","22,26","18,81M","0,89%"
"31.12.2024","22,51","22,60","22,60","22,45","10,68M","-0,44%"
"30.12.2024","22,61","22,62","22,73","22,45","22,15M","0,22%"
"27.12.2024","22,56","22,56","22,73","22,49","19,29M","-0,70%"
"26.12.2024","22,72","22,69","22,92","22,60","14,41M","-0,18%"
"24.12.2024","22,76","22,75","22,88","22,56","4,71M","0,62%"
"23.12.2024","22,62","22,82","22,86","22,60","30,38M","-2,04%"
"20.12.2024","23,09","23,00","23,30","22,94","46,16M","1,14%"
"19.12.2024","22,83","22,87","23,10","22,79","49,26M","1,92%"
"18.12.2024","22,40","23,55","23,60","22,26","65,48M","-6,67%"
"17.12.2024","24,00","23,59","24,20","23,38","41,87M","-2,83%"
"16.12.2024","24,70","25,14","25,23","24,69","32,67M","-2,18%"
"13.12.2024","25,25","25,63","25,66","25,22","26,77M","-1,87%"
"12.12.2024","25,73","26,17","26,21","25,51","41,71M","-2,94%"
"11.12.2024","26,51","26,00","26,75","25,68","50,55M","2,71%"
"10.12.2024","25,81","25,87","25,93","25,71","17,61M","1,10%"
"09.12.2024","25,53","25,65","25,86","25,53","13,63M","1,03%"
"06.12.2024","25,27","25,77","25,77","25,25","22,63M","-2,36%"
"05.12.2024","25,88","26,01","26,19","25,85","18,39M","1,69%"
"04.12.2024","25,45","25,47","25,65","25,35","16,09M","0,20%"
"03.12.2024","25,40","25,35","25,47","25,15","16,17M","0,63%"
"02.12.2024","25,24","25,22","25,41","25,08","26,92M","-1,10%"
"29.11.2024","25,52","25,19","25,81","25,08","47,93M","-3,55%"
"27.11.2024","26,46","27,43","27,49","26,45","40,33M","-3,64%"
"26.11.2024","27,46","27,58","27,69","27,40","17,93M","0,15%"
"25.11.2024","27,42","27,54","27,54","27,28","14,32M","-0,33%"
"22.11.2024","27,51","27,00","27,51","26,93","15,14M","2,19%"
"21.11.2024","26,92","26,86","27,03","26,74","20,19M","-0,88%"
"20.11.2024","27,16","27,22","27,25","27,07","15,55M","-0,44%"
"19.11.2024","27,28","27,28","27,43","27,22","10,52M","-0,40%"
"18.11.2024","27,39","27,40","27,59","27,26","15,78M","0,33%"
"15.11.2024","27,30","27,52","27,63","27,25","15,73M","-0,40%"
"14.11.2024","27,41","27,39","27,53","27,30","19,53M","-0,44%"
"13.11.2024","27,53","27,65","27,65","27,31","17,68M","-0,58%"
"12.11.2024","27,69","27,63","27,82","27,51","16,47M","-0,07%"
"11.11.2024","27,71","27,49","27,81","27,39","20,31M","0,00%"
"08.11.2024","27,71","27,78","27,78","27,23","39,77M","-1,91%"
"07.11.2024","28,25","28,63","28,63","28,03","29,78M","-0,28%"
"06.11.2024","28,33","27,76","28,42","27,45","30,57M","0,85%"
"05.11.2024","28,09","27,69","28,09","27,59","19,92M","1,04%"
"04.11.2024","27,80","27,67","27,92","27,62","22,08M","2,92%"
"01.11.2024","27,01","27,60","27,63","26,93","25,52M","-2,77%"
"31.10.2024","27,78","27,90","28,07","27,73","15,05M","-1,42%"
"30.10.2024","28,18","28,09","28,22","27,99","13,08M","-0,11%"
"29.10.2024","28,21","28,52","28,62","28,18","11,11M","-1,16%"
"28.10.2024","28,54","28,33","28,64","28,33","15,52M","1,46%"
"25.10.2024","28,13","28,21","28,37","28,06","14,49M","-0,74%"
"24.10.2024","28,34","27,88","28,37","27,85","16,23M","1,18%"
"23.10.2024","28,01","27,93","28,03","27,82","14,30M","-0,32%"
"22.10.2024","28,10","28,14","28,19","27,90","11,70M","-0,25%"
"21.10.2024","28,17","28,14","28,27","28,04","9,56M","-0,11%"
"18.10.2024","28,20","28,58","28,58","28,14","14,19M","-0,67%"
"17.10.2024","28,39","28,15","28,42","28,10","11,34M","-0,21%"
"16.10.2024","28,45","28,27","28,65","28,25","12,83M","0,18%"
"15.10.2024","28,40","28,56","28,58","28,30","14,77M","-1,90%"
"14.10.2024","28,95","28,42","28,97","28,35","16,17M","2,22%"
"11.10.2024","28,32","28,14","28,34","28,02","14,48M","-0,67%"
"10.10.2024","28,51","28,43","28,53","28,30","11,87M","0,53%"
"09.10.2024","28,36","28,52","28,57","28,27","25,47M","-2,11%"
"08.10.2024","28,97","28,92","29,08","28,82","10,92M","-0,86%"
"07.10.2024","29,22","29,31","29,60","29,13","11,23M","-0,65%"
"04.10.2024","29,41","29,17","29,43","29,10","15,08M","0,65%"
"03.10.2024","29,22","29,21","29,30","28,91","19,32M","-1,85%"
"02.10.2024","29,77","30,15","30,21","29,72","19,35M","0,88%"
"01.10.2024","29,51","29,61","29,75","29,33","19,83M","0,07%"
"30.09.2024","29,49","29,71","29,76","29,38","14,55M","-0,81%"
"27.09.2024","29,73","29,72","29,98","29,71","12,89M","0,03%"
"26.09.2024","29,72","29,85","29,98","29,59","32,49M","0,75%"
"25.09.2024","29,50","29,63","29,82","29,42","26,11M","-0,67%"
"24.09.2024","29,70","29,74","29,95","29,58","21,43M","2,45%"
"23.09.2024","28,99","28,90","29,09","28,86","24,20M","-0,69%"
"20.09.2024","29,19","29,81","29,89","29,11","30,08M","-3,06%"
"19.09.2024","30,11","30,41","30,41","30,04","16,14M","0,27%"
"18.09.2024","30,03","30,12","30,52","29,87","17,09M","-0,50%"
"17.09.2024","30,18","29,96","30,18","29,84","14,70M","0,60%"
"16.09.2024","30,00","30,00","30,20","29,92","10,43M","1,18%"
"13.09.2024","29,65","29,59","29,95","29,59","17,90M","1,26%"
"12.09.2024","29,28","29,08","29,30","28,85","13,80M","0,27%"
"11.09.2024","29,20","29,17","29,30","28,85","12,53M","0,65%"
"10.09.2024","29,01","29,30","29,34","28,89","13,29M","-1,56%"
"09.09.2024","29,47","29,31","29,58","29,26","11,96M","0,37%"
"06.09.2024","29,36","30,00","30,09","29,23","23,56M","-1,97%"
"05.09.2024","29,95","29,71","29,95","29,62","14,49M","1,25%"
"04.09.2024","29,58","29,53","29,83","29,53","17,62M","0,68%"
"03.09.2024","29,38","29,68","29,68","29,33","23,96M","-1,64%"
"30.08.2024","29,87","29,26","29,90","29,26","47,12M","0,03%"
"29.08.2024","29,86","29,93","29,97","29,67","25,90M","-2,23%"
"28.08.2024","30,54","30,25","30,56","30,19","12,92M","-0,36%"
"27.08.2024","30,65","30,62","30,79","30,55","8,46M","-0,16%"
"26.08.2024","30,70","30,36","30,83","30,36","16,53M","0,85%"
"23.08.2024","30,44","30,06","30,55","29,92","20,78M","2,28%"
"22.08.2024","29,76","30,09","30,20","29,67","30,96M","-2,71%"
"21.08.2024","30,59","30,78","30,83","30,43","11,20M","0,13%"
"20.08.2024","30,55","30,65","30,69","30,44","16,00M","-1,23%"
"19.08.2024","30,93","30,50","31,14","30,48","19,87M","2,28%"
"16.08.2024","30,24","30,44","30,50","30,13","21,28M","0,43%"
"15.08.2024","30,11","30,03","30,40","30,03","21,87M","0,37%"
"14.08.2024","30,00","29,98","30,16","29,92","16,96M","0,13%"
"13.08.2024","29,96","29,63","29,98","29,56","24,91M","1,80%"
"12.08.2024","29,43","29,47","29,58","29,31","19,21M","0,86%"
"09.08.2024","29,18","28,93","29,31","28,69","20,78M","2,71%"
"08.08.2024","28,41","28,03","28,52","27,93","22,24M","1,90%"
"07.08.2024","27,88","27,97","28,08","27,75","16,16M","1,49%"
"06.08.2024","27,47","27,26","27,76","27,18","25,69M","2,23%"
"05.08.2024","26,87","26,26","27,00","26,23","27,86M","-1,14%"
"02.08.2024","27,18","27,36","27,41","27,00","23,59M","-0,69%"
"01.08.2024","27,37","27,97","28,15","27,29","20,23M","-1,44%"
"31.07.2024","27,77","27,61","27,94","27,61","21,17M","0,58%"
"30.07.2024","27,61","27,50","27,63","27,40","15,50M","-0,54%"
"29.07.2024","27,76","27,79","27,83","27,44","11,13M","0,07%"
"26.07.2024","27,74","27,49","27,77","27,48","12,12M","1,02%"
"25.07.2024","27,46","27,51","27,66","27,35","13,15M","-0,29%"
"24.07.2024","27,54","27,56","27,88","27,48","17,43M","-1,08%"
"23.07.2024","27,84","28,01","28,16","27,83","15,34M","-1,45%"
"22.07.2024","28,25","28,25","28,48","28,17","19,48M","0,89%"
"19.07.2024","28,00","28,52","28,54","27,99","22,91M","-0,28%"
"18.07.2024","28,08","28,52","28,65","28,06","26,64M","-3,17%"
"17.07.2024","29,00","28,93","29,14","28,90","17,56M","-0,65%"
"16.07.2024","29,19","29,31","29,41","28,93","22,64M","0,21%"
"15.07.2024","29,13","29,05","29,27","28,89","17,12M","-0,07%"
"12.07.2024","29,15","28,90","29,22","28,82","16,04M","0,69%"
"11.07.2024","28,95","29,03","29,14","28,83","19,61M","0,45%"
"10.07.2024","28,82","29,05","29,07","28,69","16,41M","0,10%"
"09.07.2024","28,79","28,50","28,87","28,38","18,79M","1,41%"
"08.07.2024","28,39","28,09","28,45","28,07","17,73M","0,00%"
"05.07.2024","28,39","28,19","28,40","27,87","35,54M","1,21%"
"03.07.2024","28,05","27,68","28,10","27,65","33,50M","3,28%"
"02.07.2024","27,16","27,09","27,36","26,86","33,02M","0,07%"
"01.07.2024","27,14","27,51","27,69","27,14","20,41M","-0,70%"
"28.06.2024","27,33","27,47","27,58","27,14","28,22M","-1,48%"
"27.06.2024","27,74","27,63","27,82","27,35","30,10M","1,39%"
"26.06.2024","27,36","27,15","27,37","27,05","21,86M","-0,87%"
"25.06.2024","27,60","27,80","27,89","27,56","16,48M","-1,39%"
"24.06.2024","27,99","27,86","28,09","27,82","23,64M","1,93%"
"21.06.2024","27,46","27,25","27,54","27,24","22,32M","1,18%"
"20.06.2024","27,14","27,41","27,68","27,05","28,76M","0,30%"
"18.06.2024","27,06","26,99","27,35","26,97","27,09M","0,30%"
"17.06.2024","26,98","26,94","27,14","26,83","18,98M","-1,06%"
"14.06.2024","27,27","27,08","27,52","27,05","22,74M","-0,07%"
"13.06.2024","27,29","27,21","27,42","26,97","29,12M","0,18%"
"12.06.2024","27,24","27,72","27,78","27,08","43,67M","-2,19%"
"11.06.2024","27,85","27,84","27,99","27,66","26,01M","-2,66%"
"10.06.2024","28,61","28,45","28,71","28,40","27,64M","-0,52%"
"07.06.2024","28,76","29,37","29,45","28,72","37,27M","-3,39%"
"06.06.2024","29,77","29,46","29,82","29,43","31,20M","2,13%"
"05.06.2024","29,15","29,30","29,39","29,03","21,36M","-0,34%"
"04.06.2024","29,25","29,13","29,29","29,05","32,55M","-1,12%"
"03.06.2024","29,58","29,44","29,78","29,27","19,21M","-0,07%"
"31.05.2024","29,60","29,75","29,80","29,43","19,73M","-1,43%"
"30.05.2024","30,03","29,85","30,17","29,74","14,70M","0,50%"
"29.05.2024","29,88","29,89","30,01","29,79","19,37M","-1,71%"
"28.05.2024","30,40","30,76","30,81","30,28","18,72M","-0,10%"
"24.05.2024","30,43","30,73","30,79","30,35","19,94M","-0,69%"
"23.05.2024","30,64","30,92","31,00","30,51","14,78M","-0,75%"
"22.05.2024","30,87","31,05","31,10","30,78","23,35M","-1,81%"
"21.05.2024","31,44","31,67","31,75","31,32","16,70M","-0,69%"
"20.05.2024","31,66","31,54","31,93","31,44","15,02M","-0,28%"
"17.05.2024","31,75","31,66","31,80","31,51","13,37M","0,16%"
"16.05.2024","31,70","31,82","31,86","31,56","15,05M","0,22%"
"15.05.2024","31,63","31,48","31,74","31,20","32,22M","-1,06%"
"14.05.2024","31,97","31,78","32,04","31,73","14,57M","0,60%"
"13.05.2024","31,78","31,87","32,08","31,62","13,59M","0,54%"
"10.05.2024","31,61","32,01","32,05","31,58","10,51M","-0,75%"
"09.05.2024","31,85","31,56","31,91","31,42","33,75M","-1,70%"
"08.05.2024","32,40","32,03","32,49","32,03","9,84M","-0,37%"
"07.05.2024","32,52","32,58","32,75","32,42","14,98M","0,59%"
"06.05.2024","32,33","32,25","32,53","32,22","13,08M","0,06%"
"03.05.2024","32,31","32,45","32,54","32,17","19,65M","1,67%"
"02.05.2024","31,78","31,70","31,93","31,59","18,89M","2,02%"
"01.05.2024","31,15","31,10","31,54","30,90","23,51M","0,39%"
"30.04.2024","31,03","31,40","31,49","30,99","20,86M","-2,27%"
"29.04.2024","31,75","31,65","31,83","31,59","12,57M","0,67%"
"26.04.2024","31,54","31,30","31,67","31,27","17,03M","2,37%"
"25.04.2024","30,81","30,58","30,88","30,50","11,30M","-0,58%"
"24.04.2024","30,99","31,00","31,04","30,81","13,46M","-0,55%"
"23.04.2024","31,16","30,72","31,34","30,60","20,10M","0,48%"
"22.04.2024","31,01","30,59","31,07","30,47","18,46M","0,88%"
"19.04.2024","30,74","30,24","30,81","30,24","28,42M","2,09%"
"18.04.2024","30,11","30,34","30,50","29,81","24,30M","-0,20%"
"17.04.2024","30,17","30,34","30,43","29,86","25,57M","0,30%"
"16.04.2024","30,08","30,16","30,40","29,90","34,38M","-2,37%"
"15.04.2024","30,81","30,91","31,06","30,53","26,93M","-1,47%"
"12.04.2024","31,27","31,65","31,70","31,15","25,39M","-1,73%"
"11.04.2024","31,82","32,00","32,02","31,74","19,99M","-0,81%"
"10.04.2024","32,08","32,40","32,51","31,93","33,91M","-2,76%"
"09.04.2024","32,99","32,87","33,00","32,69","30,37M","1,45%"
"08.04.2024","32,52","31,92","32,62","31,92","20,30M","2,23%"
"05.04.2024","31,81","31,98","32,03","31,64","23,23M","-0,87%"
"04.04.2024","32,09","32,50","32,92","31,99","42,56M","0,00%"
"03.04.2024","32,09","31,80","32,20","31,50","25,25M","0,25%"
"02.04.2024","32,01","31,84","32,13","31,77","20,69M","0,57%"
"01.04.2024","31,83","32,35","32,38","31,72","20,11M","-1,82%"
"28.03.2024","32,42","32,26","32,58","32,26","18,38M","-0,28%"
"27.03.2024","32,51","32,12","32,54","32,02","22,00M","0,77%"
"26.03.2024","32,26","32,20","32,33","32,13","16,23M","0,03%"
"25.03.2024","32,25","32,17","32,31","32,15","10,43M","0,37%"
"22.03.2024","32,13","32,25","32,37","32,06","16,26M","-1,29%"
"21.03.2024","32,55","32,83","32,83","32,52","15,54M","-0,82%"
"20.03.2024","32,82","32,18","32,87","32,08","23,41M","2,31%"
"19.03.2024","32,08","31,99","32,34","31,91","21,09M","0,28%"
"18.03.2024","31,99","32,37","32,37","31,76","30,43M","-0,31%"
"15.03.2024","32,09","32,25","32,33","32,03","18,37M","-0,96%"
"14.03.2024","32,40","32,65","32,66","32,23","18,52M","-0,86%"
"13.03.2024","32,68","32,49","32,77","32,46","20,24M","0,40%"
"12.03.2024","32,55","32,34","32,68","32,17","21,03M","1,34%"
"11.03.2024","32,12","32,00","32,42","32,00","21,26M","-0,65%"
"08.03.2024","32,33","32,15","32,46","32,06","32,15M","-2,33%"
"07.03.2024","33,10","33,14","33,16","32,96","10,83M","-0,15%"
