"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"12.03.2025","54,43","54,64","54,64","54,15","2,07M","0,16%"
"11.03.2025","54,35","54,60","54,69","53,83","2,36M","0,18%"
"10.03.2025","54,25","54,65","54,80","53,81","2,49M","-2,57%"
"07.03.2025","55,68","55,02","55,74","54,97","1,83M","1,20%"
"06.03.2025","55,02","55,12","55,81","54,89","3,69M","-0,78%"
"05.03.2025","55,45","54,83","55,53","54,82","5,61M","3,39%"
"04.03.2025","53,63","52,86","54,27","52,37","3,50M","0,21%"
"03.03.2025","53,52","54,00","54,14","53,12","4,36M","2,16%"
"28.02.2025","52,39","52,49","52,74","51,94","2,33M","0,11%"
"27.02.2025","52,33","52,80","52,86","52,30","2,94M","-1,80%"
"26.02.2025","53,29","53,44","53,82","53,15","1,75M","0,13%"
"25.02.2025","53,22","53,24","53,36","52,88","2,49M","1,20%"
"24.02.2025","52,59","52,91","52,91","52,53","5,30M","-0,02%"
"21.02.2025","52,60","52,97","52,98","52,48","1,93M","-0,64%"
"20.02.2025","52,94","52,90","52,99","52,65","859,58K","0,70%"
"19.02.2025","52,57","52,68","52,87","52,42","1,69M","-1,59%"
"18.02.2025","53,42","53,43","53,56","53,33","1,06M","0,55%"
"14.02.2025","53,13","53,39","53,46","53,12","2,35M","0,59%"
"13.02.2025","52,82","52,51","52,96","52,27","3,17M","1,09%"
"12.02.2025","52,25","51,50","52,38","51,42","4,31M","1,16%"
"11.02.2025","51,65","51,24","51,70","51,21","2,33M","1,16%"
"10.02.2025","51,06","50,88","51,11","50,85","2,21M","0,73%"
"07.02.2025","50,69","51,29","51,32","50,65","2,33M","-1,11%"
"06.02.2025","51,26","51,06","51,33","51,03","1,00M","0,87%"
"05.02.2025","50,82","50,68","50,90","50,59","728,28K","0,73%"
"04.02.2025","50,45","50,25","50,54","50,21","886,73K","1,47%"
"03.02.2025","49,72","49,35","50,04","49,17","2,23M","-1,68%"
"31.01.2025","50,57","50,89","51,17","50,47","1,56M","-0,78%"
"30.01.2025","50,97","50,96","51,26","50,74","1,21M","0,87%"
"29.01.2025","50,53","50,44","50,63","50,33","992,80K","0,26%"
"28.01.2025","50,40","50,46","50,51","50,06","935,78K","-0,51%"
"27.01.2025","50,66","50,33","50,67","50,25","1,37M","-0,02%"
"24.01.2025","50,67","50,68","50,87","50,61","4,03M","0,36%"
"23.01.2025","50,49","50,13","50,51","50,01","1,25M","0,92%"
"22.01.2025","50,03","50,25","50,28","50,01","1,09M","-0,04%"
"21.01.2025","50,05","49,71","50,06","49,63","1,22M","2,04%"
"17.01.2025","49,05","49,05","49,32","48,97","1,01M","0,72%"
"16.01.2025","48,70","48,46","48,86","48,43","893,23K","1,14%"
"15.01.2025","48,15","48,36","48,42","48,04","907,46K","0,94%"
"14.01.2025","47,70","47,57","47,81","47,49","1,15M","0,95%"
"13.01.2025","47,25","46,88","47,27","46,84","867,67K","-0,46%"
"10.01.2025","47,47","47,78","47,84","47,28","1,41M","-0,73%"
"08.01.2025","47,82","47,66","47,90","47,48","1,09M","-0,42%"
"07.01.2025","48,02","48,48","48,58","47,94","978,53K","0,02%"
"06.01.2025","48,01","47,68","48,34","47,67","2,40M","2,34%"
