"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"12.03.2025","69,52","69,27","69,69","68,96","4,71M","1,85%"
"11.03.2025","68,26","68,48","68,65","67,83","6,97M","-0,61%"
"10.03.2025","68,68","69,18","69,31","68,32","5,84M","-2,12%"
"07.03.2025","70,17","69,77","70,23","69,37","4,24M","0,80%"
"06.03.2025","69,61","70,05","70,34","69,58","4,75M","-0,77%"
"05.03.2025","70,15","69,41","70,33","69,39","4,00M","2,20%"
"04.03.2025","68,64","68,71","69,46","68,01","5,13M","-0,82%"
"03.03.2025","69,21","69,88","70,11","69,04","5,56M","1,08%"
"28.02.2025","68,47","68,11","68,55","67,96","6,84M","-0,77%"
"27.02.2025","69,00","69,81","69,89","68,98","4,45M","-0,73%"
"26.02.2025","69,51","69,55","70,04","69,46","2,60M","0,06%"
"25.02.2025","69,47","69,79","69,81","69,15","3,97M","1,00%"
"24.02.2025","68,78","69,00","69,16","68,62","3,26M","-0,45%"
"21.02.2025","69,09","69,60","69,63","68,98","2,68M","-0,89%"
"20.02.2025","69,71","69,79","69,89","69,49","3,02M","0,13%"
"19.02.2025","69,62","69,46","69,68","69,33","3,41M","-0,68%"
"18.02.2025","70,10","69,95","70,12","69,88","2,86M","1,05%"
"14.02.2025","69,37","69,44","69,54","69,19","2,24M","0,16%"
"13.02.2025","69,26","68,64","69,26","68,64","3,08M","1,82%"
"12.02.2025","68,02","67,56","68,08","67,45","3,84M","-1,05%"
"11.02.2025","68,74","68,42","68,87","68,40","2,06M","-0,01%"
"10.02.2025","68,75","68,84","68,86","68,62","2,55M","0,39%"
"07.02.2025","68,48","69,10","69,25","68,31","7,61M","-1,33%"
"06.02.2025","69,40","69,28","69,52","69,21","3,38M","0,41%"
"05.02.2025","69,12","68,68","69,14","68,53","4,84M","1,25%"
"04.02.2025","68,27","67,66","68,31","67,65","2,50M","0,90%"
"03.02.2025","67,66","67,49","68,11","67,26","5,20M","-0,95%"
"31.01.2025","68,31","68,98","69,19","68,27","5,20M","-1,17%"
"30.01.2025","69,12","68,96","69,36","68,86","2,44M","1,50%"
"29.01.2025","68,10","68,24","68,36","67,95","7,95M","-0,31%"
"28.01.2025","68,31","68,16","68,31","67,90","2,16M","0,84%"
"27.01.2025","67,74","67,71","67,89","67,60","3,20M","-1,08%"
"24.01.2025","68,48","68,00","68,66","67,97","2,73M","0,97%"
"23.01.2025","67,82","67,33","67,83","67,31","2,69M","0,85%"
"22.01.2025","67,25","67,47","67,48","67,21","2,77M","-0,12%"
"21.01.2025","67,33","67,09","67,33","66,86","4,04M","1,74%"
"17.01.2025","66,18","66,08","66,33","65,95","2,12M","0,50%"
"16.01.2025","65,85","65,98","66,09","65,75","4,02M","-0,63%"
"15.01.2025","66,27","66,29","66,31","65,88","3,97M","1,50%"
"14.01.2025","65,29","65,19","65,45","64,96","3,78M","-0,20%"
"13.01.2025","65,42","64,69","65,44","64,69","4,54M","0,28%"
"10.01.2025","65,24","65,67","65,78","65,15","3,81M","-2,77%"
"08.01.2025","67,10","66,83","67,15","66,67","3,61M","-0,25%"
"07.01.2025","67,27","67,88","67,94","67,18","4,05M","-0,24%"
"06.01.2025","67,43","67,43","67,87","67,34","5,24M","0,22%"
"03.01.2025","67,28","66,83","67,39","66,81","3,70M","0,40%"
"02.01.2025","67,01","67,18","67,46","66,81","4,49M","-0,13%"
"31.12.2024","67,10","67,02","67,49","66,99","2,76M","-0,09%"
"30.12.2024","67,16","67,11","67,40","66,90","3,56M","-0,84%"
"27.12.2024","67,73","67,84","67,93","67,45","4,03M","0,76%"
"26.12.2024","67,22","67,04","67,31","66,93","2,35M","1,16%"
"24.12.2024","66,45","66,44","66,53","66,31","1,63M","-0,06%"
"23.12.2024","66,49","66,12","66,54","65,84","5,07M","0,42%"
"20.12.2024","66,21","65,73","66,84","65,72","5,43M","-0,27%"
"19.12.2024","66,39","66,82","66,90","66,12","4,72M","0,32%"
"18.12.2024","66,18","67,89","68,00","66,15","4,30M","-2,50%"
"17.12.2024","67,88","67,80","68,11","67,74","3,23M","-1,88%"
"16.12.2024","69,18","69,08","69,34","69,06","3,23M","-0,52%"
"13.12.2024","69,54","69,76","69,78","69,36","3,06M","-1,18%"
"12.12.2024","70,37","70,52","70,74","70,36","2,53M","-0,98%"
"11.12.2024","71,07","70,81","71,21","70,80","5,73M","1,41%"
"10.12.2024","70,08","70,32","70,39","70,05","2,20M","-0,54%"
"09.12.2024","70,46","70,94","71,01","70,46","2,66M","-0,87%"
"06.12.2024","71,08","71,18","71,18","70,93","2,83M","0,08%"
"05.12.2024","71,02","71,14","71,29","70,94","2,90M","-0,18%"
"04.12.2024","71,15","71,36","71,37","71,04","6,88M","-0,56%"
"03.12.2024","71,55","71,48","71,66","71,20","9,11M","1,43%"
"02.12.2024","70,54","70,28","70,67","70,16","5,49M","1,22%"
"29.11.2024","69,69","68,96","69,70","68,92","4,50M","2,67%"
"27.11.2024","67,88","68,23","68,36","67,76","4,89M","-0,28%"
"26.11.2024","68,07","67,99","68,09","67,68","5,24M","-0,51%"
"25.11.2024","68,42","68,45","68,59","68,18","4,67M","0,69%"
"22.11.2024","67,95","67,61","68,03","67,54","7,23M","0,71%"
"21.11.2024","67,47","67,44","67,69","67,24","3,26M","0,28%"
"20.11.2024","67,28","67,16","67,29","66,85","3,35M","-0,74%"
"19.11.2024","67,78","67,58","67,94","67,44","3,93M","-0,15%"
"18.11.2024","67,88","67,52","68,03","67,41","3,38M","0,58%"
"15.11.2024","67,49","67,50","67,57","67,25","5,63M","-0,49%"
"14.11.2024","67,82","68,01","68,17","67,78","4,32M","0,12%"
"13.11.2024","67,74","67,99","68,04","67,46","4,32M","-1,11%"
"12.11.2024","68,50","69,08","69,17","68,14","8,16M","-1,58%"
"11.11.2024","69,60","69,47","69,78","69,44","2,47M","0,24%"
"08.11.2024","69,43","69,40","69,50","69,17","5,08M","-0,79%"
"07.11.2024","69,98","69,71","70,12","69,56","4,61M","0,86%"
"06.11.2024","69,38","69,30","69,46","68,54","3,99M","0,45%"
"05.11.2024","69,07","68,25","69,18","68,18","3,28M","1,51%"
"04.11.2024","68,04","68,11","68,62","67,92","2,37M","0,09%"
"01.11.2024","67,98","67,70","68,29","67,70","3,37M","-0,13%"
"31.10.2024","68,07","68,21","68,21","67,40","5,21M","-0,51%"
"30.10.2024","68,42","68,75","68,91","68,39","6,80M","0,09%"
"29.10.2024","68,36","68,24","68,53","68,09","4,45M","0,97%"
"28.10.2024","67,70","67,59","67,90","67,49","2,91M","0,68%"
"25.10.2024","67,24","67,49","67,68","67,04","3,17M","0,03%"
"24.10.2024","67,22","67,02","67,25","66,93","4,18M","0,82%"
"23.10.2024","66,67","66,60","66,78","66,39","7,34M","-2,04%"
"22.10.2024","68,06","68,11","68,19","67,85","3,75M","-1,32%"
"21.10.2024","68,97","69,45","69,50","68,79","3,08M","-1,65%"
"18.10.2024","70,13","69,99","70,13","69,92","2,01M","0,53%"
"17.10.2024","69,76","70,27","70,27","69,71","3,02M","-0,53%"
"16.10.2024","70,13","70,01","70,21","69,81","6,44M","0,60%"
"15.10.2024","69,71","70,75","70,77","69,62","6,17M","-2,05%"
"14.10.2024","71,17","70,88","71,21","70,83","2,42M","0,17%"
"11.10.2024","71,05","70,62","71,12","70,59","3,40M","0,21%"
"10.10.2024","70,90","70,39","70,92","70,21","2,60M","0,01%"
"09.10.2024","70,89","70,54","70,98","70,51","2,76M","-0,52%"
"08.10.2024","71,26","71,18","71,48","71,16","2,88M","0,31%"
"07.10.2024","71,04","71,17","71,33","70,77","2,93M","-1,17%"
"04.10.2024","71,88","71,46","71,93","71,44","4,02M","1,31%"
"03.10.2024","70,95","70,55","71,04","70,49","3,88M","-0,39%"
"02.10.2024","71,23","71,10","71,42","70,81","4,40M","-0,57%"
"01.10.2024","71,64","72,19","72,35","71,22","5,13M","0,14%"
"30.09.2024","71,54","71,84","71,93","71,14","5,04M","0,65%"
"27.09.2024","71,08","71,68","72,17","70,82","8,99M","-2,62%"
"26.09.2024","72,99","72,86","73,24","72,45","6,69M","2,88%"
"25.09.2024","70,95","71,31","71,34","70,84","3,97M","-0,18%"
"24.09.2024","71,08","71,14","71,26","70,90","5,01M","-0,86%"
"23.09.2024","71,70","71,52","71,89","71,47","3,48M","0,60%"
"20.09.2024","71,27","71,50","71,54","70,86","6,62M","0,06%"
"19.09.2024","71,23","71,07","71,42","70,64","6,38M","2,65%"
"18.09.2024","69,39","69,54","70,20","69,14","4,20M","-0,46%"
"17.09.2024","69,71","69,95","70,16","69,46","4,48M","-1,18%"
"16.09.2024","70,54","70,22","70,57","70,09","5,15M","0,96%"
"13.09.2024","69,87","69,88","70,25","69,72","3,88M","-0,54%"
"12.09.2024","70,25","69,48","70,26","69,28","3,16M","0,99%"
"11.09.2024","69,56","69,07","69,64","68,14","5,87M","0,61%"
"10.09.2024","69,14","69,15","69,18","68,39","4,70M","-0,27%"
"09.09.2024","69,33","69,27","69,75","69,17","4,79M","1,82%"
"06.09.2024","68,09","69,53","69,76","67,93","11,53M","-3,53%"
"05.09.2024","70,58","70,37","70,71","70,11","5,09M","0,60%"
"04.09.2024","70,16","69,88","70,58","69,82","5,11M","-1,03%"
"03.09.2024","70,89","71,78","72,04","70,71","8,23M","-1,50%"
"30.08.2024","71,97","72,22","72,32","71,69","6,50M","0,60%"
"29.08.2024","71,54","71,80","72,25","71,40","6,35M","0,17%"
"28.08.2024","71,42","71,91","72,10","71,12","9,91M","-0,43%"
"27.08.2024","71,73","71,58","71,91","71,49","4,90M","0,99%"
"26.08.2024","71,03","71,38","71,51","70,90","6,75M","-1,25%"
"23.08.2024","71,93","71,19","72,04","71,10","8,21M","2,30%"
"22.08.2024","70,31","71,25","71,31","70,19","7,43M","-0,73%"
"21.08.2024","70,83","70,88","71,02","70,53","7,39M","1,16%"
"20.08.2024","70,02","70,11","70,43","69,91","6,52M","-0,48%"
"19.08.2024","70,36","69,87","70,46","69,85","5,27M","1,43%"
"16.08.2024","69,37","69,17","69,57","69,08","6,66M","0,52%"
"15.08.2024","69,01","68,61","69,20","68,57","5,03M","1,92%"
"14.08.2024","67,71","67,51","67,76","67,13","5,52M","0,15%"
"13.08.2024","67,61","67,00","67,71","66,94","8,95M","2,86%"
"12.08.2024","65,73","65,40","66,08","65,33","7,62M","0,55%"
"09.08.2024","65,37","64,87","65,40","64,68","8,19M","-0,24%"
